Timestamp                     Simulation t   % complete   Est. completion
2017-03-25 22:13:19.445795       0.00*year            0   TBD
2017-03-25 22:13:23.233319      20.00*year           10   2017-03-25 22:13:57.338684
2017-03-25 22:13:27.064766      40.00*year           20   2017-03-25 22:13:57.548494
2017-03-25 22:13:27.497959      60.00*year           30   2017-03-25 22:13:46.290917
2017-03-25 22:13:31.393348      80.00*year           40   2017-03-25 22:13:49.317619
2017-03-25 22:13:31.847875     100.00*year           50   2017-03-25 22:13:44.251916
2017-03-25 22:13:35.716324     120.00*year           60   2017-03-25 22:13:46.564651
2017-03-25 22:13:36.169537     140.00*year           70   2017-03-25 22:13:43.337695
2017-03-25 22:13:39.983858     160.00*year           80   2017-03-25 22:13:45.118864
2017-03-25 22:13:40.417062     180.00*year           90   2017-03-25 22:13:42.747421
